"Sorting.code","Mesh.size","Leaf.condition","Genus","latitude","longitude","mean_kd","mean_mean_daily_temp","Citation"
2300,"fine","senesced","Alnus",41.093,-7.2834,0.0158641025641026,10.3846153846154,"Feio et al 2010 FWB"
2339,"coarse","senesced","Quercus",41.093,-7.2834,0.0111487179487179,10.3846153846154,"Feio et al 2010 FWB"
2378,"fine","senesced","Quercus",41.093,-7.2834,0.00867692307692308,10.3846153846154,"Feio et al 2010 FWB"
2417,"coarse","senesced","Alnus",64.22,20.18,0.0096,0.5,"McKie and Malmqvist 2008 FWB"
2418,"coarse","senesced","Alnus",64.21,20.19,0.0164,0.3,"McKie and Malmqvist 2008 FWB"
2419,"coarse","senesced","Alnus",64.23,20.18,0.0082,0.5,"McKie and Malmqvist 2008 FWB"
2420,"coarse","senesced","Alnus",64.21,20.2,0.0168,0.3,"McKie and Malmqvist 2008 FWB"
2421,"coarse","senesced","Alnus",64.22,20.23,0.0141,0.7,"McKie and Malmqvist 2008 FWB"
2422,"coarse","senesced","Alnus",64.2,20.36,0.0183,0.3,"McKie and Malmqvist 2008 FWB"
2423,"coarse","senesced","Alnus",64.12,19.51,0.0197,0.2,"McKie and Malmqvist 2008 FWB"
2424,"coarse","senesced","Alnus",64.12,19.53,0.0326,0.1,"McKie and Malmqvist 2008 FWB"
2425,"coarse","senesced","Alnus",63.53,20.12,0.0202,0.3,"McKie and Malmqvist 2008 FWB"
2426,"coarse","senesced","Alnus",63.57,20.2,0.0552,0.1,"McKie and Malmqvist 2008 FWB"
2427,"fine","senesced","Alnus",64.22,20.18,0.0055,0.5,"McKie and Malmqvist 2008 FWB"
2428,"fine","senesced","Alnus",64.21,20.19,0.0057,0.3,"McKie and Malmqvist 2008 FWB"
2429,"fine","senesced","Alnus",64.23,20.18,0.0041,0.5,"McKie and Malmqvist 2008 FWB"
2430,"fine","senesced","Alnus",64.21,20.2,0.0086,0.3,"McKie and Malmqvist 2008 FWB"
2431,"fine","senesced","Alnus",64.22,20.23,0.0059,0.7,"McKie and Malmqvist 2008 FWB"
2432,"fine","senesced","Alnus",64.2,20.36,0.0092,0.3,"McKie and Malmqvist 2008 FWB"
2433,"fine","senesced","Alnus",64.12,19.51,0.0091,0.2,"McKie and Malmqvist 2008 FWB"
2434,"fine","senesced","Alnus",64.12,19.53,0.0125,0.1,"McKie and Malmqvist 2008 FWB"
2435,"fine","senesced","Alnus",63.53,20.12,0.0119,0.3,"McKie and Malmqvist 2008 FWB"
2436,"fine","senesced","Alnus",63.57,20.2,0.015,0.1,"McKie and Malmqvist 2008 FWB"
2437,"coarse","senesced","Quercus",64.22,20.18,0.006,0.5,"McKie and Malmqvist 2008 FWB"
2438,"coarse","senesced","Quercus",64.21,20.19,0.011,0.3,"McKie and Malmqvist 2008 FWB"
2439,"coarse","senesced","Quercus",64.23,20.18,0.005,0.5,"McKie and Malmqvist 2008 FWB"
2440,"coarse","senesced","Quercus",64.21,20.2,0.0097,0.3,"McKie and Malmqvist 2008 FWB"
2441,"coarse","senesced","Quercus",64.22,20.23,0.0072,0.7,"McKie and Malmqvist 2008 FWB"
2442,"coarse","senesced","Quercus",64.2,20.36,0.0115,0.3,"McKie and Malmqvist 2008 FWB"
2443,"coarse","senesced","Quercus",64.12,19.51,0.0113,0.2,"McKie and Malmqvist 2008 FWB"
2444,"coarse","senesced","Quercus",64.12,19.53,0.0193,0.1,"McKie and Malmqvist 2008 FWB"
2445,"coarse","senesced","Quercus",63.53,20.12,0.0167,0.3,"McKie and Malmqvist 2008 FWB"
2446,"coarse","senesced","Quercus",63.57,20.2,0.0256,0.1,"McKie and Malmqvist 2008 FWB"
2447,"fine","senesced","Quercus",64.22,20.18,0.0066,0.5,"McKie and Malmqvist 2008 FWB"
2448,"fine","senesced","Quercus",64.21,20.19,0.0069,0.3,"McKie and Malmqvist 2008 FWB"
2449,"fine","senesced","Quercus",64.23,20.18,0.0057,0.5,"McKie and Malmqvist 2008 FWB"
